"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Am06g12940",2945.82087801927,-0.126646623505321,0.141796857762651,-0.89315535974225,0.371773980089639,0.627534151647597
"Am03g24720",3.79208174575015,-1.82056116610668,2.03865591921772,-0.893020322333392,0.371846289736175,0.627576566003403
"Am05g44420",174.153774852449,0.261861528770767,0.293241584857919,0.892989065304788,0.371863028449871,0.627576566003403
"Am04g07990",2382.55058413837,-0.208171773467676,0.233126315196495,-0.892956993260131,0.371880204105307,0.627576566003403
"Am01g17460",71.5701094260218,-0.389882005231989,0.436660020777934,-0.892873143131796,0.371925110985046,0.627606728930718
"Am06g39530",6.40712022793588,-0.840980342528057,0.941962599643584,-0.892795895342621,0.371966484883265,0.62763092616105
"Am01g20450",64.4539990779383,0.312226057504354,0.349739374316089,0.892739223643058,0.371996840047224,0.627636528963397
"Am01g62830",204.589146886338,0.169562508402488,0.189957735481832,0.892632816307211,0.37205383934811,0.627687081920334
"Am01g64600",16.2421322934831,0.648992998014998,0.72712366071051,0.89254831479536,0.372099108196135,0.627717838677624
"Am07g08610",7569.66112891194,0.14383131858431,0.161164282579711,0.89245157972997,0.37215093495138,0.62775965311569
"Am03g01660",68.7885887727298,-0.405891884791809,0.454856754104787,-0.892351011893082,0.372204819895261,0.627804933063672
"Am08g24060",7.48217366577768,-1.71867255486255,1.92689952171194,-0.891936780043212,0.372426819171404,0.628133747467005
"Am03g01080",1224.93724592639,-0.123060653898018,0.137994410022555,-0.891779992232322,0.372510867865702,0.628159728539224
"Am08g32270",6.2465082803688,-0.817363983028606,0.916571584432084,-0.891762298669833,0.372520353529944,0.628159728539224
"Am02g12590",825.922646052387,-0.364384068565432,0.408613805928711,-0.89175662515183,0.372523395181256,0.628159728539224
"Am04g15960",177.522222094243,0.191227780221758,0.214453523118524,0.891698011956044,0.372554819425268,0.628167091856854
"Am06g11400",153.144561760271,0.1717857736804,0.192669145829454,0.89161018979375,0.37260190652235,0.628200861425046
"Am01g42540",1104.85135739588,0.207259787386871,0.232494759907398,0.891460037505454,0.372682421341163,0.628282063504763
"Am05g32750",3201.85340049763,-0.0845979230266858,0.094906368572479,-0.891382994620422,0.372723737542323,0.628282063504763
"Am06g31960",240.421549668975,0.243762844034797,0.273479936016145,0.891337213200189,0.372748290334128,0.628282063504763
"Am07g26490",30.0965068791048,-0.440366733321532,0.494062141277021,-0.891318513463306,0.372758319379506,0.628282063504763
"Am08g24940",622.144121531551,-0.266157889849011,0.298631267903421,-0.891259283455502,0.372790086728436,0.628289992993639
"Am02g50170",196.634042637284,-0.32033008694223,0.359480479915678,-0.891091741663881,0.372879954966166,0.628386653959282
"Am03g02020",192.51506944748,-0.374165590823388,0.419927401130003,-0.89102447188854,0.372916041775454,0.628386653959282
"Am04g09630",800.130303399585,-0.140509236983333,0.157698183246014,-0.891000987399675,0.372928640517358,0.628386653959282
"Am07g27020",82.1096857728533,-0.449122580737227,0.504106383001777,-0.890928176832158,0.372967702934521,0.62840686489062
"Am01g40570",81.76153829728,-0.265716735744364,0.298353008842161,-0.890611885482736,0.373137420691282,0.628609602610384
"Am08g12480",4.41041470216148,1.23320142663458,1.38475453155093,0.890555978360575,0.373167424686851,0.628609602610384
"Am02g47460",203.448941745641,0.204265273114962,0.229369138499174,0.890552558428416,0.373169260129924,0.628609602610384
"Am08g13510",3.04024771459348,-2.39055825054876,2.68506762597648,-0.890315844346523,0.373296315772458,0.628778006745512
"Am05g38290",31.0896711167598,-1.28397975974438,1.44235581858042,-0.890196263088595,0.373360510870262,0.628816744533296
"Am02g14680",5.0603916150125,0.964501825188328,1.08350040220415,0.890172097053449,0.373373484811831,0.628816744533296
"Am08g25680",1850.16430423675,0.42243066605945,0.47461146296401,0.890055759339052,0.373435946572304,0.628876319136995
"Am01g40530",1327.55131144521,-0.129411162470355,0.145413465463131,-0.889953086931737,0.373491076797577,0.628923539488834
"Am06g33540",7324.60949999149,0.10076376788883,0.113248107626409,0.889761162466726,0.373594144665083,0.629051469578224
"Am05g14420",2764.20427900792,-0.124820876669137,0.140300209802984,-0.889669921694463,0.373643149238845,0.629070913440015
"Am02g46950",790.173930283235,-0.138543475601104,0.155730034912322,-0.889638762870029,0.373659885266101,0.629070913440015
"Am01g05480",1471.00415069529,0.165836754740212,0.18643820895901,0.889499827670373,0.373734515784439,0.629122332844445
"Am02g50400",3.79745681544859,-1.4945310872772,1.6802560890239,-0.889466252817096,0.373752552257344,0.629122332844445
"Am02g21110",178.787316972456,-0.264923861785715,0.297866211148576,-0.889405551452667,0.373785162509146,0.629122332844445
"Am01g16420",2415.55439521479,-0.0983602714398017,0.110598669866492,-0.889344072207526,0.373818192452018,0.629122332844445
"Am04g06950",47.1808776426056,-1.09296551128992,1.22897675264527,-0.889329687430948,0.373825920985058,0.629122332844445
"Am08g33660",500.114107731477,-0.356483343641015,0.400971646596567,-0.889048756107402,0.373976877248667,0.629330761250003
"Am04g39880",74.4454873535671,-0.248967164417353,0.2800573567435,-0.888986339485372,0.374010421455161,0.629335539385809
"Am03g28750",1007.76870833451,-0.166702747150867,0.187532640539266,-0.888926571243803,0.374042544102309,0.629335539385809
"Am06g18220",93.4491560199318,0.257041937447827,0.289171994838856,0.888889456916691,0.374062492184125,0.629335539385809
"Am04g38300",570.196873108853,-0.122551768791273,0.137878055625674,-0.888841724922418,0.374088147980882,0.629335539385809
"Am02g44430",1472.31696686297,-0.28100909689319,0.316172107628281,-0.888785222077743,0.374118519489035,0.629341029523761
"Am07g15360",117.926850015645,-0.234888715090544,0.264299910711486,-0.888720372467142,0.374153379445321,0.629354068772829
"Am01g46810",504.881590112367,-0.148444314493084,0.167058511940086,-0.888576779292286,0.374230575212644,0.629409281565108
"Am05g36280",81.4227031115469,0.279686950207705,0.314805057099205,0.888444908683811,0.374301477598946,0.629409281565108
"Am01g42800",41.6549130875198,-0.372819859975683,0.419634250734821,-0.888440014900688,0.374304108981234,0.629409281565108
